"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"136","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Gull Eggs","Gull Eggs","Terrestrial"
"137","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Tern Eggs","Tern Eggs","Terrestrial"
"138","Birds and Eggs","Migratory Birds","Duck","Wigeon","Wigeon","Terrestrial"
"139","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Canada Geese","Terrestrial"
"140","Birds and Eggs","Migratory Birds","Duck","Eider","Eider","Terrestrial"
"141","Birds and Eggs","Migratory Birds","Seabirds and Loons","Gull","Gull","Terrestrial"
"142","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Puffin","Terrestrial"
"143","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Puffin Eggs","Puffin Eggs","Terrestrial"
"144","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Cormorants","Terrestrial"
"145","Birds and Eggs","Migratory Birds","Duck","Bufflehead","Bufflehead","Terrestrial"
"146","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Unknown Goldeneye","Terrestrial"
"147","Birds and Eggs","Migratory Birds","Duck","Harlequin","Harlequin","Terrestrial"
"148","Birds and Eggs","Migratory Birds","Duck","Mallard","Mallard","Terrestrial"
"149","Birds and Eggs","Migratory Birds","Duck","Merganser","Common Merganser","Terrestrial"
"150","Birds and Eggs","Migratory Birds","Duck","Northern Pintail","Northern Pintail","Terrestrial"
"151","Birds and Eggs","Migratory Birds","Duck","Scaup","Unknown Scaup","Terrestrial"
"152","Birds and Eggs","Migratory Birds","Duck","Scoter","Black Scoter","Terrestrial"
"153","Birds and Eggs","Migratory Birds","Duck","Scoter","Surf Scoter","Terrestrial"
"154","Birds and Eggs","Migratory Birds","Duck","Scoter","Unknown Scoter","Terrestrial"
"155","Birds and Eggs","Migratory Birds","Duck","Teal","Green-Winged Teal","Terrestrial"
"156","Birds and Eggs","Migratory Birds","Duck","Wigeon","American Wigeon","Terrestrial"
"157","Birds and Eggs","Migratory Birds","Duck","Wigeon","Unknown Wigeon","Terrestrial"
"158","Birds and Eggs","Migratory Birds","Duck","Unknown Duck","Unknown Duck","Terrestrial"
"159","Birds and Eggs","Migratory Birds","Geese","Brant","Brant","Terrestrial"
"160","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Dusky Canada Geese","Terrestrial"
"161","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Lesser Canada Geese","Terrestrial"
"162","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Unknown Canada Geese","Terrestrial"
"163","Birds and Eggs","Migratory Birds","Geese","White-fronted Geese","White-fronted Geese","Terrestrial"
"164","Birds and Eggs","Migratory Birds","Geese","Unknown Geese","Unknown Geese","Terrestrial"
"165","Birds and Eggs","Migratory Birds","Crane","Sandhill Crane","Sandhill Crane","Terrestrial"
"166","Birds and Eggs","Migratory Birds","Shorebird","Wilson's Snipe","Wilson's Snipe","Terrestrial"
"167","Birds and Eggs","Migratory Birds","Seabirds and Loons","Unknown Seabirds","Unknown Seabird","Terrestrial"
"168","Birds and Eggs","Migratory Birds","Heron","Great Blue Heron","Great Blue Heron","Terrestrial"
"169","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Spruce Grouse","Terrestrial"
"170","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Unknown Grouse","Terrestrial"
"171","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Unknown Ptarmigan","Terrestrial"
"172","Birds and Eggs","Bird Eggs","Geese Eggs","Unknown Geese Eggs","Unknown Geese Eggs","Terrestrial"
"173","Birds and Eggs","Bird Eggs","Shorebird Eggs","Black Oystercatcher Eggs","Black Oystercatcher Eggs","Terrestrial"
"174","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Gull Eggs","Unknown Gull Eggs","Terrestrial"
"175","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Murre Eggs","Unknown Murre Eggs","Terrestrial"
"176","Birds and Eggs","Migratory Birds","Duck","Canvasback","Canvasback","Terrestrial"
"177","Birds and Eggs","Migratory Birds","Duck","Eider","Unknown Eider","Terrestrial"
"178","Birds and Eggs","Migratory Birds","Duck","Gadwall","Gadwall","Terrestrial"
"179","Birds and Eggs","Migratory Birds","Duck","Merganser","Red-Breasted Merganser","Terrestrial"
"180","Birds and Eggs","Migratory Birds","Duck","Merganser","Unknown Merganser","Terrestrial"
"181","Birds and Eggs","Migratory Birds","Duck","Long-tailed Duck (Oldsquaw)","Long-tailed Duck (Oldsquaw)","Terrestrial"
"182","Birds and Eggs","Migratory Birds","Duck","Scoter","White-winged Scoter","Terrestrial"
"183","Birds and Eggs","Migratory Birds","Duck","Northern Shoveler","Northern Shoveler","Terrestrial"
"184","Birds and Eggs","Migratory Birds","Duck","Teal","Unknown Teal","Terrestrial"
"185","Birds and Eggs","Migratory Birds","Geese","Emperor Geese","Emperor Geese","Terrestrial"
"186","Birds and Eggs","Migratory Birds","Geese","Snow Geese","Snow Geese","Terrestrial"
"187","Birds and Eggs","Migratory Birds","Crane","Crane","Unknown Crane","Terrestrial"
"188","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Loon","Terrestrial"
"189","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Unknown Loon","Terrestrial"
"190","Birds and Eggs","Bird Eggs","Duck Eggs","Unknown Duck Eggs","Unknown Duck Eggs","Terrestrial"
"191","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Sharp-Tailed Grouse","Terrestrial"
"192","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Ruffed Grouse","Terrestrial"
"193","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","White-tailed Ptarmigan","Terrestrial"
"194","Birds and Eggs","Migratory Birds","Seabirds and Loons","Gull","Unknown Gull","Terrestrial"
"195","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Tufted Puffin","Terrestrial"
"196","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Unknown Puffin","Terrestrial"
"197","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Tern Eggs","Unknown Tern Eggs","Terrestrial"
"198","Marine Invertebrates","Marine Invertebrates","Chiton","Chiton","Chiton","Nearshore"
"199","Marine Invertebrates","Marine Invertebrates","Cockle","Cockle","Cockle","Nearshore"
"200","Marine Invertebrates","Marine Invertebrates","Limpet","Limpet","Limpet","Nearshore"
"201","Marine Invertebrates","Marine Invertebrates","Mussel","Mussel","Mussel","Nearshore"
"202","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Sea Cucumber","Sea Cucumber","Nearshore"
"203","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Sea Urchin","Sea Urchin","Nearshore"
"204","Marine Invertebrates","Marine Invertebrates","Scallop","Scallop","Scallop","Marine"
"205","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","King Crab","Marine"
"206","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Tanner Crab","Marine"
"207","Marine Invertebrates","Marine Invertebrates","Oyster","Oyster","Oyster","Marine"
"208","Marine Invertebrates","Marine Invertebrates","Scallop","Rock Scallops","Rock Scallops","Marine"
"209","Marine Invertebrates","Marine Invertebrates","Chiton","Red (large) Chiton","Red (large) Chiton","Nearshore"
"210","Marine Invertebrates","Marine Invertebrates","Chiton","Black (small) Chiton","Black (small) Chiton","Nearshore"
"211","Marine Invertebrates","Marine Invertebrates","Chiton","Unknown Chiton","Unknown Chiton","Nearshore"
"212","Marine Invertebrates","Marine Invertebrates","Clam","Butter Clam","Butter Clam","Nearshore"
"213","Marine Invertebrates","Marine Invertebrates","Clam","Horse Clam","Horse Clam","Nearshore"
"214","Marine Invertebrates","Marine Invertebrates","Clam","Pacific Littleneck Clam","Pacific Littleneck Clam","Nearshore"
"215","Marine Invertebrates","Marine Invertebrates","Clam","Pinkneck Clam","Pinkneck Clam","Nearshore"
"216","Marine Invertebrates","Marine Invertebrates","Clam","Razor Clam","Razor Clam","Nearshore"
"217","Marine Invertebrates","Marine Invertebrates","Clam","Unknown Clam","Unknown Clam","Nearshore"
"218","Marine Invertebrates","Marine Invertebrates","Cockle","Unknown Cockle","Unknown Cockle","Nearshore"
"219","Marine Invertebrates","Marine Invertebrates","Crab","Dungeness Crab","Dungeness Crab","Nearshore"
"220","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Unknown King Crab","Marine"
"221","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Tanner Crab, Bairdi","Marine"
"222","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Unknown Tanner Crab","Marine"
"223","Marine Invertebrates","Marine Invertebrates","Crab","Unknown Crab","Unknown Crab","Marine"
"224","Marine Invertebrates","Marine Invertebrates","Mussel","Unknown Mussel","Unknown Mussel","Nearshore"
"225","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopus","Marine"
"226","Marine Invertebrates","Marine Invertebrates","Oyster","Oyster","Rock Oyster","Marine"
"227","Marine Invertebrates","Marine Invertebrates","Oyster","Unknown Oyster","Unknown Oyster","Marine"
"228","Marine Invertebrates","Marine Invertebrates","Scallop","Weathervane Scallop","Weathervane Scallop","Marine"
"229","Marine Invertebrates","Marine Invertebrates","Shrimp","Shrimp","Shrimp","Marine"
"230","Marine Invertebrates","Marine Invertebrates","Snails","Snails","Snails","Nearshore"
"231","Marine Invertebrates","Marine Invertebrates","Squid","Squid","Squid","Marine"
"232","Marine Invertebrates","Marine Invertebrates","Abalone","Abalone","Abalone","Nearshore"
"233","Marine Invertebrates","Marine Invertebrates","Clam","Clam","Softshell Clam","Nearshore"
"234","Marine Invertebrates","Marine Invertebrates","Crab","Box Crab","Box Crab","Marine"
"235","Marine Invertebrates","Marine Invertebrates","Crab","Hair Crab","Hair Crab","Marine"
"236","Marine Invertebrates","Marine Invertebrates","Clam","Geoduck Clam","Geoduck Clam","Nearshore"
"237","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Unknown Sea Cucumber","Unknown Sea Cucumber","Nearshore"
"238","Marine Invertebrates","Marine Invertebrates","Scallop","Unknown Scallop","Unknown Scallop","Marine"
"239","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Unknown Sea Urchin","Unknown Sea Urchin","Nearshore"
"240","Marine Invertebrates","Marine Invertebrates","Whelk","Whelk","Whelk","Nearshore"
"241","Vegetation","Vegetation","Berries","Berries","Berries","Terrestrial"
"242","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Plants/Greens","Terrestrial"
"243","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Seaweed/Kelp","Nearshore"
"244","Vegetation","Vegetation","Wood","Wood","Wood","Terrestrial"
"245","Vegetation","Vegetation","Berries","Berries","Blueberry","Terrestrial"
"246","Vegetation","Vegetation","Berries","Berries","Low Bush Cranberry","Terrestrial"
"247","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry","Terrestrial"
"248","Vegetation","Vegetation","Berries","Berries","Crowberry","Terrestrial"
"249","Vegetation","Vegetation","Berries","Berries","Gooseberry","Terrestrial"
"250","Vegetation","Vegetation","Berries","Berries","Currants","Terrestrial"
"251","Vegetation","Vegetation","Berries","Berries","Huckleberry","Terrestrial"
"252","Vegetation","Vegetation","Berries","Berries","Salmonberry","Terrestrial"
"253","Vegetation","Vegetation","Berries","Berries","Strawberry","Terrestrial"
"254","Vegetation","Vegetation","Berries","Berries","Twisted Stalk Berry (Watermelon Berry)","Terrestrial"
"255","Vegetation","Vegetation","Berries","Berries","Bearberry","Terrestrial"
"256","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Fiddlehead Ferns","Terrestrial"
"257","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Dandelion Greens","Terrestrial"
"258","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Spruce Tips","Terrestrial"
"259","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Other Wild Greens","Terrestrial"
"260","Vegetation","Vegetation","Mushrooms","Mushrooms","Unknown Mushrooms","Terrestrial"
"261","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Fireweed","Terrestrial"
"262","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Black Seaweed","Nearshore"
"263","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Bull Kelp","Nearshore"
"264","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Unknown Seaweed","Nearshore"
"265","Vegetation","Vegetation","Berries","Berries","Nagoonberry","Terrestrial"
"266","Vegetation","Vegetation","Berries","Berries","Raspberry","Terrestrial"
"267","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Goose Tongue","Terrestrial"
"268","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Rhubarb","Terrestrial"
"269","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Devils Club","Terrestrial"
"270","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Nettle","Terrestrial"
"271","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Hudson Bay Tea","Terrestrial"
"272","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Salmonberry Shoots","Terrestrial"
"273","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Celery","Terrestrial"
"274","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Rose Hips","Terrestrial"
"275","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Sorrel","Terrestrial"
"276","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Stinkweed","Terrestrial"
"277","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Sea Ribbons","Nearshore"
"278","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Bladder Wrack","Nearshore"
"279","Vegetation","Vegetation","Wood","Wood","Alder","Terrestrial"
"280","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Parsley","Terrestrial"
"281","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Red Seaweed","Nearshore"
"282","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Giant Kelp","Nearshore"
"283","Vegetation","Vegetation","Berries","Berries","Other Wild Berry","Terrestrial"
"284","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Other Beach Greens","Terrestrial"
