"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"31","Marine Mammals 1995","Craig_1995","Craig","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4690,5816,4440,7191,NA,NA,56,"Ind.",56,69,NA,NA,NA
"32","Marine Mammals 1996","Craig_1996","Craig","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3468.5,3982,3197,4768,NA,NA,56,"Ind.",42,48,NA,NA,NA
"33","Marine Mammals 1997","Craig_1997","Craig","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4837,5171,3881,6460,NA,NA,56,"Ind.",58,62,NA,NA,NA
"34","Marine Mammals 1998","Craig_1998","Craig","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4326,4470,3979,4962,NA,NA,56,"Ind.",51,53,NA,NA,NA
"35","Marine Mammals 2000","Craig_2000","Craig","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2922.5,2923,2923,2923,NA,NA,56,"Ind.",35,35,NA,NA,NA
"36","Marine Mammals 2001","Craig_2001","Craig","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4483.5,4484,4484,4484,NA,NA,56,"Ind.",54,54,NA,NA,NA
"37","Marine Mammals 2002","Craig_2002","Craig","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2775.5,3172,NA,NA,NA,NA,56,"Ind.",34,39,NA,NA,NA
"38","Marine Mammals 2003","Craig_2003","Craig","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2341.5,2342,NA,NA,NA,NA,56,"Ind.",28,28,NA,NA,NA
"39","Marine Mammals 2004","Craig_2004","Craig","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2229.5,2452,NA,NA,NA,NA,56,"Ind.",27,30,NA,NA,NA
"40","Marine Mammals 2005","Craig_2005","Craig","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2149,2149,2149,2149,NA,NA,56,"Ind.",26,26,NA,NA,NA
"41","Marine Mammals 2006","Craig_2006","Craig","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,87.5,116,87,231,NA,NA,56,"Ind.",1,1,NA,NA,NA
"42","Marine Mammals 1995","Craig_1995","Craig","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"43","Marine Mammals 1996","Craig_1996","Craig","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"44","Marine Mammals 1997","Craig_1997","Craig","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"45","Marine Mammals 1998","Craig_1998","Craig","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"46","Marine Mammals 2000","Craig_2000","Craig","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"47","Marine Mammals 2001","Craig_2001","Craig","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"48","Marine Mammals 2002","Craig_2002","Craig","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"49","Marine Mammals 2003","Craig_2003","Craig","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"50","Marine Mammals 2004","Craig_2004","Craig","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,600,660,NA,NA,NA,NA,200,"Ind.",3,3,NA,NA,NA
"51","Marine Mammals 2005","Craig_2005","Craig","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"52","Marine Mammals 2006","Craig_2006","Craig","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
