"","Forest","Site_Year_Code","Site","Year","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log"
"76","Tongass","Kasaan_1987","Kasaan","1987",25,2.52771814228922,0.785279793262207,25,8.05131259637665,1.34633011458103,4,0.971171889852763,-0.0292518028223433,2.08583513358889
"77","Tongass","Kasaan_1998","Kasaan","1998",29,2.1150574796768,0.628117512230964,25,15.4500686330623,1.25472857764201,4,0.905095348312897,-0.099714983580077,2.73761344560329
"78","Tongass","Klawock_1984","Klawock","1984",45,2.94929792985418,0.774772635551445,25,7.94495616791143,1.34911999254745,4,0.973184361406182,-0.0271817374515918,2.07253728303343
"79","Tongass","Klawock_1987","Klawock","1987",35,2.69415334160442,0.757774849328192,25,9.81780032000385,1.33321450812492,4,0.961710979656522,-0.039041310404134,2.28419709727502
"80","Tongass","Klawock_1997","Klawock","1997",44,2.86758935122568,0.757781620012657,25,8.56287433713882,1.340695301316,4,0.967107231275864,-0.0334458990088536,2.14743592083872
"81","Tongass","Klukwan_1983","Klukwan","1983",26,2.11854016554069,0.650238610433318,25,38.4647305716237,0.608396150520985,4,0.43886505462628,-0.823563305812612,3.64974173237899
"82","Tongass","Klukwan_1987","Klukwan","1987",24,2.1170625637529,0.666150630784349,25,40.2099015528596,0.545891490486757,4,0.393777473094365,-0.931969318338243,3.69411327258138
"83","Tongass","Klukwan_1996","Klukwan","1996",33,1.93362420592682,0.553015879970193,25,39.9025934623837,0.572879739428091,4,0.413245379549334,-0.88371372310737,3.68644132084071
"84","Tongass","Klukwan_2014","Klukwan","2014",25,1.5314471263156,0.475770800005404,25,41.5197689541523,0.494765056647215,4,0.356897546815042,-1.03030652210157,3.7261696741541
"85","Tongass","Petersburg_1987","Petersburg","1987",34,2.57486110987269,0.730175230779321,25,9.3304897925282,1.32907681869772,4,0.95872626764784,-0.0421496800382397,2.23328751000099
"86","Tongass","Petersburg_2000","Petersburg","2000",40,2.76795802542716,0.750351986248902,25,16.8255093672773,1.20109129087938,4,0.866404224503302,-0.143403707380072,2.82289614950209
"87","Tongass","Point Baker_1987","Point Baker","1987",27,2.52160400911086,0.765087627704066,25,9.53763379645792,1.32698743677086,4,0.95721909717564,-0.0437229720649915,2.25524542497434
"88","Tongass","Point Baker_1996","Point Baker","1996",33,2.68599234937408,0.768192918835714,25,12.9595071392589,1.27236898443437,4,0.917820212012197,-0.0857537550235353,2.56182966082282
"89","Tongass","Port Protection_1987","Port Protection","1987",32,2.68475471960553,0.774656463995628,25,11.6040899711897,1.30233121225016,4,0.939433390754108,-0.0624783612539554,2.45135761969253
"90","Tongass","Port Protection_1996","Port Protection","1996",43,2.80083965475767,0.744666481071081,25,9.88322289709393,1.32855145297406,4,0.958347296385754,-0.042545044383283,2.29083866272607
"91","Tongass","Saxman_1987","Saxman","1987",30,2.68910632200939,0.790635185275615,25,8.48322847356344,1.34420400573736,4,0.969638226510183,-0.030832239413104,2.13809109357188
"92","Tongass","Saxman_1999","Saxman","1999",37,2.65846748716669,0.736230385591881,25,10.7397053349216,1.31867082326122,4,0.951219928641965,-0.0500099827716657,2.3739476524773
"93","Tongass","Sitka_1987","Sitka","1987",38,2.57783330742695,0.708665910368662,25,9.24792028702423,1.3258426452107,4,0.95639330462229,-0.044586044026518,2.2243986924102
"94","Tongass","Sitka_1996","Sitka","1996",50,2.85325266649303,0.729354776936124,25,7.32177818470244,1.35010340718329,4,0.973893745115312,-0.0264530725478657,1.99085321988003
"95","Tongass","Sitka_2013","Sitka","2013",48,2.69099083361276,0.695130742637841,25,14.0545732402276,1.26306623906367,4,0.911109699705716,-0.0930919721706939,2.64294784034203
"96","Tongass","Tenakee Springs_1984","Tenakee Springs","1984",20,2.19262198354507,0.731915199132215,25,8.43811374577327,1.33687092633647,4,0.964348527867132,-0.0363025062820342,2.132758793793
