Forest,Site_Year_Code,Community,Harvest_Survey_Year,Habitat,Lowest_Common_Taxon_Name,Percapita_Pounds_Harvested_sum,Community_Population_2020,est_total_lbs_2020,est_total_kgs_2020,Group,Food Category,Cost_per_lb,total_cost_est_2020,total_cost_est_2020_mil,servings,servigs_percapita
Chugach,Cordova_2014,Cordova,2014,Marine,Octopus,0.28,2609,735.08,333.42,Marine Invertebrates,Octopus,32.38,23801.04,0.02,2222.83,0.851985663
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Pink Salmon,0.49,2609,1286.37,583.49,Salmon,Pacific Salmon,11.99,15423.53,0.02,3889.91,1.490956911
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Plants/Greens,0.24,2609,613.13,278.11,Plants/Greens,Spinach,14.40,8829.14,0.01,1854.09,0.710650566
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Rainbow Trout,0.06,2609,159.44,72.32,Trout,Pacific Salmon,11.99,1911.67,0.00,482.14,0.184796894
Chugach,Cordova_2014,Cordova,2014,Marine,Rockfish,1.14,2609,2977.38,1350.52,Non-Halibut Fish,Rockfish,8.79,26171.21,0.03,9003.46,3.450923611
Chugach,Cordova_2014,Cordova,2014,Marine,Sablefish (black cod),0.05,2609,125.27,56.82,Non-Halibut Fish,Pacific Cod,8.79,1101.15,0.00,378.82,0.145197561
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Seabirds and Loon Eggs,0.03,2609,74.54,33.81,Birds/Eggs,Eggs,4.99,372.22,0.00,225.41,0.086398548
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Seabirds and Loons,0.05,2609,124.24,56.35,Birds/Eggs,Duck,16.00,1987.81,0.00,375.69,0.143997579
Chugach,Cordova_2014,Cordova,2014,Nearshore,Seaweed/Kelp,0.61,2609,1585.90,719.35,Seaweed/Kelp,Seaweed,130.88,207562.94,0.21,4795.69,1.838133033
Chugach,Cordova_2014,Cordova,2014,Marine,Shrimp,0.32,2609,837.31,379.80,Marine Invertebrates,Shrimp,7.99,6690.13,0.01,2531.99,0.970483676
Chugach,Cordova_2014,Cordova,2014,Marine,Skates,0.01,2609,25.88,11.74,Non-Halibut Fish,Halibut,27.99,724.38,0.00,78.27,0.029999496
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Smelt,0.46,2609,1201.62,545.04,Other Freshwater/Anadromous Fish,Herring,9.32,11199.06,0.01,3633.62,1.392726632
Chugach,Cordova_2014,Cordova,2014,Freshwater_Anadromous,Sockeye Salmon,18.97,2609,49493.83,22450.03,Salmon,Pacific Salmon,11.99,593431.06,0.59,149666.84,57.36559419
Chugach,Cordova_2014,Cordova,2014,Marine,Tanner Crab,0.91,2609,2385.37,1081.99,Offshore Crab,Crab,30.00,71558.76,0.07,7213.24,2.764753541
Chugach,Cordova_2014,Cordova,2014,Marine,Unknown Greenling,0.07,2609,176.00,79.83,Non-Halibut Fish,Pacific Cod,8.79,1547.07,0.00,532.23,0.203996576
Chugach,Cordova_2014,Cordova,2014,Terrestrial,Upland Game Birds,0.13,2609,347.87,157.79,Birds/Eggs,Duck,16.00,5565.87,0.01,1051.93,0.40319322
Chugach,Cordova_2014,Cordova,2014,Marine,Wolffish,0.01,2609,15.53,7.04,Non-Halibut Fish,Halibut,27.99,434.63,0.00,46.96,0.017999697
Chugach,Hope_1990,Hope,1990,Terrestrial,Beaver,0.80,161,128.80,58.42,Small Land Mammals,Venison,25.00,3219.74,0.00,389.48,2.419159307
Chugach,Hope_1990,Hope,1990,Terrestrial,Berries,3.98,161,640.78,290.65,Berries,Blueberries,8.96,5741.39,0.01,1937.69,12.03531755
Chugach,Hope_1990,Hope,1990,Terrestrial,Black Bear,2.51,161,404.11,183.30,Other Large Land Mammals,Bison,33.00,13334.82,0.01,1222.01,7.590112325
Chugach,Hope_1990,Hope,1990,Freshwater_Anadromous,Burbot,0.08,161,12.88,5.84,Other Freshwater/Anadromous Fish,Pacific Cod,8.79,113.22,0.00,38.95,0.241915931
Chugach,Hope_1990,Hope,1990,Terrestrial,Caribou,7.97,161,1283.17,582.04,Other Large Land Mammals,Venison,25.00,32076.68,0.03,3880.24,24.10087459
Chugach,Hope_1990,Hope,1990,Freshwater_Anadromous,Chinook Salmon,6.94,161,1117.34,506.82,Salmon,Pacific Salmon,11.99,13396.91,0.01,3378.78,20.98620699
Chugach,Hope_1990,Hope,1990,Freshwater_Anadromous,Chum Salmon,3.95,161,635.95,288.46,Salmon,Pacific Salmon,11.99,7625.04,0.01,1923.08,11.94459908
