"","General_Category","General_Category_lvl2","Family","Species","Species_2","Habitat"
"219","Vegetation","Vegetation","Seaweed/Kelp","Red Seaweed","Red Seaweed","Nearshore"
"220","Vegetation","Vegetation","Berries","Low Bush Cranberry","Low Bush Cranberry","Terrestrial"
"221","Vegetation","Vegetation","Berries","Crowberry","Crowberry","Terrestrial"
"222","Vegetation","Vegetation","Berries","Elderberry","Elderberry","Terrestrial"
"223","Vegetation","Vegetation","Berries","Currants","Currants","Terrestrial"
"224","Vegetation","Vegetation","Berries","Cloud Berry","Cloud Berry","Terrestrial"
"225","Vegetation","Vegetation","Berries","Nagoonberry","Nagoonberry","Terrestrial"
"226","Vegetation","Vegetation","Berries","Soapberry","Soapberry","Terrestrial"
"227","Vegetation","Vegetation","Berries","Twisted Stalk Berry (Watermelon Berry)","Twisted Stalk Berry (Watermelon Berry)","Terrestrial"
"228","Vegetation","Vegetation","Plants/Greens","Wild Rhubarb","Wild Rhubarb","Terrestrial"
"229","Vegetation","Vegetation","Plants/Greens","Other Beach Greens","Other Beach Greens","Terrestrial"
"230","Vegetation","Vegetation","Plants/Greens","Fiddlehead Ferns","Fiddlehead Ferns","Terrestrial"
"231","Vegetation","Vegetation","Plants/Greens","Nettle","Nettle","Terrestrial"
"232","Vegetation","Vegetation","Plants/Greens","Mint","Mint","Terrestrial"
"233","Vegetation","Vegetation","Plants/Greens","Dandelion Greens","Dandelion Greens","Terrestrial"
"234","Vegetation","Vegetation","Plants/Greens","Sourdock","Sourdock","Terrestrial"
"235","Vegetation","Vegetation","Plants/Greens","Wild Parsley","Wild Parsley","Terrestrial"
"236","Vegetation","Vegetation","Plants/Greens","Wild Rose Hips","Wild Rose Hips","Terrestrial"
"237","Vegetation","Vegetation","Plants/Greens","Yarrow","Yarrow","Terrestrial"
"238","Vegetation","Vegetation","Plants/Greens","Sorrel","Sorrel","Terrestrial"
"239","Vegetation","Vegetation","Plants/Greens","Fireweed","Fireweed","Terrestrial"
"240","Vegetation","Vegetation","Plants/Greens","Plantain","Plantain","Terrestrial"
"241","Vegetation","Vegetation","Seaweed/Kelp","Red Laver (Dulse)","Red Laver (Dulse)","Nearshore"
"242","Vegetation","Vegetation","Seaweed/Kelp","Bladder Wrack","Bladder Wrack","Nearshore"
"243","Vegetation","Vegetation","Berries","Other Wild Berry","Other Wild Berry","Terrestrial"
"244","Vegetation","Vegetation","Plants/Greens","Eskimo Potato","Eskimo Potato","Terrestrial"
"245","Vegetation","Vegetation","Plants/Greens","Indian Rice","Indian Rice","Terrestrial"
"246","Vegetation","Vegetation","Plants/Greens","Skunk Cabbage","Skunk Cabbage","Terrestrial"
"247","Vegetation","Vegetation","Wood","Alder","Alder","Terrestrial"
"248","Vegetation","Vegetation","Plants/Greens","Lambs Quarter","Lambs Quarter","Terrestrial"
"249","Vegetation","Vegetation","Berries","Serviceberry","Serviceberry","Terrestrial"
"250","Vegetation","Vegetation","Wood","Bark","Bark","Terrestrial"
"251","Vegetation","Vegetation","Wood","Other Wood","Other Wood","Terrestrial"
"252","Vegetation","Vegetation","Wood","Roots","Roots","Terrestrial"
"253","Vegetation","Vegetation","Plants/Greens","Stinkweed","Stinkweed","Terrestrial"
"254","Vegetation","Vegetation","Plants/Greens","Unknown Greens from Land","Greens from Land","Terrestrial"
"255","Vegetation","Vegetation","Coal","Coal","Coal","Terrestrial"
"256","Vegetation","Vegetation","Seaweed/Kelp","Unknown Kelp","Kelp","Nearshore"
"257","Vegetation","Vegetation","Mushrooms","Chaga","Chaga","Terrestrial"
"258","Vegetation","Vegetation","Plants/Greens","Wild Chives","Wild Chives","Terrestrial"
