"","Project_Name","Site_Year_Code","Habitat","General_Category","General_Category_lvl2","Family","Species","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Type","Site","Year","Genus"
"1","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chum Salmon",188.5,251.4,7.8,3.9281666,28,37.3,0.8,"6.734","Ind.","64",NA,NA,NA,NA
"2","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Coho Salmon",1728.9,2305.2,72,36.01875,339,452,7.9,"5.1","Ind.","64",NA,NA,NA,NA
"3","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chinook Salmon",400.7,534.3,16.6,8.349,46,61.3,1.8,"8.712","Ind.","64",NA,NA,NA,NA
"4","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Pink Salmon",25.5,34,1,0.53229165,10,13.3,0.1,"2.555","Ind.","64",NA,NA,NA,NA
"5","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Sockeye Salmon",12013.3,16017.7,500.5,250.27725,2799,3732,55.4,"4.292","Ind.","64",NA,NA,NA,NA
"6","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Salmon Roe",0,0,0,0,0,0,0,"7","Gal.","64",NA,NA,NA,NA
"7","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Unknown Salmon",0,0,0,0,0,0,0,"5.0241337","Ind.","64",NA,NA,NA,NA
"8","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Clupeidae","Herring",0,0,0,0,0,0,0,"6","Gal.","64",NA,NA,NA,NA
"9","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Nearshore","Fish","Non-Salmon Fish","Clupeidae","Herring Roe",0,0,0,0,0,0,0,"7","Lbs._Gal.","64",NA,NA,NA,NA
"10","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Eulachon (hooligan, candlefish",4477.2,5969.6,186.5,93.27604,497.4,663.2,20.6,"9","Gal.","64",NA,NA,NA,NA
